seed,alpha,omega,n_particles,train_reps,test_reps,shape_copies,color_copies,blocked_train,reward_rule,n_colors,n_train_colors,n_test_colors,rewarded_shape,n_train,n_first_heldout,flat_train_acc,hier_train_acc,adv_train_acc,flat_first_heldout_acc,hier_first_heldout_acc,adv_first_heldout_acc,flat_heldout_shape0_acc,flat_heldout_shape1_acc,hier_heldout_shape0_acc,hier_heldout_shape1_acc,adv_heldout_shape0_acc,adv_heldout_shape1_acc,flat_train_brier,hier_train_brier,adv_train_brier_reduction,flat_heldout_brier,hier_heldout_brier,adv_heldout_brier_reduction,flat_train_logloss,hier_train_logloss,adv_train_logloss_reduction,flat_heldout_logloss,hier_heldout_logloss,adv_heldout_logloss_reduction,flat_train_shape0_mean_prob,flat_train_shape1_mean_prob,flat_train_shape_contrast,hier_train_shape0_mean_prob,hier_train_shape1_mean_prob,hier_train_shape_contrast,adv_train_shape_contrast,flat_heldout_shape0_mean_prob,flat_heldout_shape1_mean_prob,flat_heldout_shape_contrast,hier_heldout_shape0_mean_prob,hier_heldout_shape1_mean_prob,hier_heldout_shape_contrast,adv_heldout_shape_contrast,flat_train_signed_contrast,hier_train_signed_contrast,adv_train_signed_contrast,flat_heldout_signed_contrast,hier_heldout_signed_contrast,adv_heldout_signed_contrast,flat_n_clusters,hier_nodes_level_0,hier_nodes_level_1,hier_nodes_level_2,hier_nodes_level_3,hier_nodes_level_4,hier_n_levels_used,hier_total_nodes,hier_best_shape_level,hier_best_shape_separation,flat_shape_same_node,flat_shape_diff_node,flat_shape_separation,hier_shape_same_node,hier_shape_diff_node,flat_color_separation,hier_color_separation_at_shape_level,flat_all_heldout_acc,hier_all_heldout_acc,adv_all_heldout_acc,flat_all_heldout_brier,hier_all_heldout_brier,adv_all_heldout_brier_reduction,flat_all_heldout_logloss,hier_all_heldout_logloss,adv_all_heldout_logloss_reduction,flat_all_heldout_shape_contrast,hier_all_heldout_shape_contrast,adv_all_heldout_shape_contrast,hier_nodes_level_5,hier_nodes_level_6
0,0.7999321695164382,0.46352358077216743,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.50625,0.6,0.09375,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.5,-0.5,0.24260694834289115,0.2201187687858186,0.022488179557072552,0.24740864769661214,0.22856996928260725,0.018838678414004884,0.656886227443941,0.6046081454123009,0.05227808203164008,0.687962840422238,0.6500284953220407,0.03793434510019733,0.6780269478364438,0.9477065323345635,-0.2696795844981197,0.636001846359199,0.9041574377013408,-0.26815559134214184,0.001523993155977843,0.4958191208023999,0.5011836513721453,-0.0053645305697453405,0.4399674741038638,0.48666158615835,-0.0466941120544862,-0.04132958148474086,0.2696795844981197,0.26815559134214184,-0.001523993155977843,0.0053645305697453405,0.0466941120544862,0.04132958148474086,3,7,5,4,2.0,1.0,5,19,3,1.0,0.839240506329114,0.81671875,0.022521756329113907,1.0,0.0,-0.00031484962406014283,-0.04431818181818181,,,,,,,,,,,,,,
1,0.7999321695164382,0.46352358077216743,200,10,3,6,1,1,random_balanced,10,8,2,0,160,4,0.5,0.55,0.050000000000000044,0.5,0.75,0.25,1.0,0.0,0.5,1.0,-0.5,1.0,0.2497088028447826,0.22031425959473538,0.029394543250047228,0.25079420929853724,0.23660325854991815,0.014190950748619091,0.6826147566608022,0.5986702331749997,0.0839445234858025,0.6947356711231264,0.6663223621449174,0.02841330897820904,0.9504256239560899,0.688056840921412,0.2623687830346779,0.9106111736224161,0.6401633264901003,0.27044784713231573,0.008079064097637811,0.5028077936057913,0.5043660806262809,-0.001558287020489546,0.4996113637166035,0.47197522468632397,0.027636139030279505,0.02919442605076905,0.2623687830346779,0.27044784713231573,0.008079064097637811,-0.001558287020489546,0.027636139030279505,0.02919442605076905,1,6,11,6,3.0,2.0,5,28,3,0.09646539027982326,1.0,1.0,0.0,0.4536082474226804,0.35714285714285715,0.0,0.07056856187290972,,,,,,,,,,,,,,
2,0.7999321695164382,0.46352358077216743,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.5125,0.50625,-0.006249999999999978,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.23472771863635508,0.23596751157291992,-0.001239792936564843,0.24083626972552352,0.2274566785558995,0.013379591169624033,0.6305424145733387,0.6417249510980454,-0.011182536524706688,0.67481245949495,0.6480261399700998,0.02678631952485011,0.05503394946268113,0.3324915887093606,-0.27745763924667943,0.0945372569827831,0.33731259846745987,-0.24277534148467678,0.034682297762002656,0.4946675728575761,0.5132845376410442,-0.018616964783468082,0.47485262854581023,0.52103591997757,-0.04618329143175981,-0.027566326648291728,0.27745763924667943,0.24277534148467678,-0.034682297762002656,0.018616964783468082,0.04618329143175981,0.027566326648291728,6,5,6,6,5.0,2.0,5,24,2,0.08170308123249304,0.41360759493670884,0.41828125,-0.004673655063291149,0.657703081232493,0.576,0.0013016917293233177,-0.017898630471998023,,,,,,,,,,,,,,
3,0.7999321695164382,0.46352358077216743,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.5,0.53125,0.03125,0.75,0.75,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.24447230564479067,0.23130293537987962,0.013169370264911051,0.2438516542296896,0.24238446716922288,0.0014671870604667236,0.6670200802439293,0.6222367829419106,0.04478329730201869,0.6808484733939462,0.6779127423502191,0.002935731043727019,0.05069481989443951,0.31923711060134846,-0.26854229070690894,0.09669126928722452,0.34236920359242556,-0.24567793430520105,0.02286435640170789,0.4980489698529358,0.5104779417002325,-0.012428971847296744,0.496547754314035,0.5119924778362495,-0.015444723522214487,-0.0030157516749177438,0.26854229070690894,0.24567793430520105,-0.02286435640170789,0.012428971847296744,0.015444723522214487,0.0030157516749177438,1,6,8,7,5.0,2.0,5,28,1,0.025185666655850425,1.0,1.0,0.0,0.7484586929716399,0.7232730263157895,0.0,-0.007181908546209814,,,,,,,,,,,,,,
4,0.7999321695164382,0.46352358077216743,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.49375,0.50625,0.012499999999999956,0.5,0.75,0.25,1.0,0.0,1.0,0.5,0.0,0.5,0.2455953902590831,0.23995379501618103,0.005641595242902087,0.2480602963418222,0.24220614757676154,0.005854148765060657,0.6629152792899445,0.6525086439962824,0.010406635293662148,0.6892673338945078,0.6775515471957979,0.011715786698709874,0.05613383683998879,0.3174632300227042,-0.2613293931827154,0.08857970074590793,0.33033915716315837,-0.24175945641725044,0.01956993676546498,0.49447032261805074,0.4983942470007736,-0.0039239243827228765,0.4839288320100599,0.4998522103558367,-0.01592337834577684,-0.011999453963053963,0.2613293931827154,0.24175945641725044,-0.01956993676546498,0.0039239243827228765,0.01592337834577684,0.011999453963053963,2,5,6,5,4.0,2.0,5,22,3,0.10476190476190478,0.975,0.9753125,-0.00031250000000004885,0.4380952380952381,0.3333333333333333,0.0013157894736842701,0.04097771387491017,,,,,,,,,,,,,,
5,0.7999321695164382,0.46352358077216743,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.49375,0.51875,0.025000000000000022,0.75,1.0,0.25,1.0,0.5,1.0,1.0,0.0,0.5,0.24770243126172523,0.23156042376818897,0.016142007493536253,0.24908231640760023,0.23482314103732313,0.0142591753702771,0.6720753076047088,0.6246102078598299,0.04746509974487889,0.6913118060653014,0.6627779925991607,0.0285338134661407,0.04844772327294588,0.3141139807244481,-0.26566625745150224,0.09308640010260333,0.3422119118820445,-0.24912551177944114,0.016540745672061097,0.49700955735161945,0.49887125844862024,-0.0018617010970007897,0.47997067152453876,0.5108888550992854,-0.030918183574746627,-0.029056482477745837,0.26566625745150224,0.24912551177944114,-0.016540745672061097,0.0018617010970007897,0.030918183574746627,0.029056482477745837,1,6,9,7,6.0,4.0,5,32,2,0.0673008616253114,1.0,1.0,0.0,0.30449251247920134,0.23719165085388993,0.0,0.00924999999999998,,,,,,,,,,,,,,
0,0.3137870980314211,0.08214131017338326,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.5,0.53125,0.03125,0.5,0.75,0.25,0.5,0.5,1.0,0.5,0.5,0.0,0.2508083112285576,0.23213449718289608,0.01867381404566154,0.2504012499921258,0.2388257229201624,0.01157552707196341,0.6922717811622843,0.6163368715536787,0.0759349096086056,0.6939497621731525,0.670780121791883,0.023169640381269563,0.6917941611563144,0.982574838070646,-0.2907806769143316,0.664866797184013,0.960840110742426,-0.29597331355841305,-0.0051926366440814276,0.4978214703636257,0.4970561829741583,0.0007652873894673506,0.4844076872996621,0.5074354686917677,-0.023027781392105595,-0.023793068781572946,0.2907806769143316,0.29597331355841305,0.0051926366440814276,-0.0007652873894673506,0.023027781392105595,0.023793068781572946,1,3,4,3,2.0,2.0,5,14,0,0.0,1.0,1.0,0.0,0.9875,0.9875,0.0,0.0,,,,,,,,,,,,,,
1,0.3137870980314211,0.08214131017338326,200,10,3,6,1,1,random_balanced,10,8,2,0,160,4,0.5,0.50625,0.006249999999999978,0.5,0.5,0.0,1.0,0.0,0.5,0.5,-0.5,0.5,0.2505446385389712,0.2355154331735864,0.015029205365384796,0.2498802330442691,0.2484618760817185,0.0014183569625506043,0.6808065070868103,0.6222792073187532,0.05852729976805715,0.6929076226227678,0.6900697753567837,0.002837847265984128,0.9828149322524056,0.6915171313330707,0.2912978009193349,0.9588229727073363,0.671525686057149,0.2872972866501873,-0.004000514269147604,0.5086165077095595,0.5082302551729678,0.00038625253659163583,0.5050609336042243,0.5018641838527538,0.003196749751470551,0.0028104972148789154,0.2912978009193349,0.2872972866501873,-0.004000514269147604,0.00038625253659163583,0.003196749751470551,0.0028104972148789154,1,1,6,8,3.0,1.0,5,19,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
2,0.3137870980314211,0.08214131017338326,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.50625,0.5125,0.006249999999999978,0.75,1.0,0.25,0.5,1.0,1.0,1.0,0.5,0.0,0.24557367052789458,0.22706232478452965,0.018511345743364938,0.24372228999842543,0.23984327651313245,0.003879013485292987,0.6669157657757487,0.6008991438086835,0.06601662196706526,0.6805899775002243,0.6728256215672396,0.007764355932984746,0.01825969745461984,0.31576267968961425,-0.2975029822349944,0.040327074005095664,0.34132907277474567,-0.30100199876965,-0.003499016534655619,0.49817604853537945,0.5108654113009097,-0.012689362765530232,0.4977122823098039,0.5183721386079256,-0.020659856298121726,-0.007970493532591494,0.2975029822349944,0.30100199876965,0.003499016534655619,0.012689362765530232,0.020659856298121726,0.007970493532591494,3,3,4,4,1.0,1.0,5,13,2,0.09686083599127071,0.8822784810126583,0.879375,0.002903481012658249,0.749034749034749,0.6521739130434783,0.0023590225563909772,-0.06349206349206349,,,,,,,,,,,,,,
3,0.3137870980314211,0.08214131017338326,200,10,3,6,1,1,random_balanced,10,8,2,1,160,4,0.49375,0.55625,0.0625,0.25,1.0,0.75,0.0,0.5,1.0,1.0,1.0,0.5,0.24872004886021398,0.22328400356877426,0.025436045291439724,0.25244995262079917,0.2250386312374026,0.02741132138339658,0.6890725411371624,0.5994179961007349,0.08965454503642756,0.6980472447359451,0.6431483207233973,0.05489892401254781,0.018149664265924337,0.3105471702579914,-0.29239750599206704,0.040759918737077454,0.3491546105131335,-0.30839469177605605,-0.01599718578398901,0.5048847541257331,0.500008919361288,0.004875834764445086,0.46539045719309236,0.5170448594194179,-0.05165440222632556,-0.056530236990770644,0.29239750599206704,0.30839469177605605,0.01599718578398901,-0.004875834764445086,0.05165440222632556,0.056530236990770644,1,2,7,6,3.0,2.0,5,20,0,-0.0006091772151898267,1.0,1.0,0.0,0.9387658227848101,0.939375,0.0,-0.0002913533834586479,,,,,,,,,,,,,,
