seed,rewarded_shape,n_train,n_first_heldout,flat_train_acc,hier_train_acc,adv_train_acc,flat_first_heldout_acc,hier_first_heldout_acc,adv_first_heldout_acc,flat_heldout_shape0_acc,flat_heldout_shape1_acc,hier_heldout_shape0_acc,hier_heldout_shape1_acc,adv_heldout_shape0_acc,adv_heldout_shape1_acc,flat_train_brier,hier_train_brier,adv_train_brier_reduction,flat_heldout_brier,hier_heldout_brier,adv_heldout_brier_reduction,flat_train_logloss,hier_train_logloss,adv_train_logloss_reduction,flat_heldout_logloss,hier_heldout_logloss,adv_heldout_logloss_reduction,flat_train_shape0_mean_prob,flat_train_shape1_mean_prob,flat_train_shape_contrast,hier_train_shape0_mean_prob,hier_train_shape1_mean_prob,hier_train_shape_contrast,adv_train_shape_contrast,flat_heldout_shape0_mean_prob,flat_heldout_shape1_mean_prob,flat_heldout_shape_contrast,hier_heldout_shape0_mean_prob,hier_heldout_shape1_mean_prob,hier_heldout_shape_contrast,adv_heldout_shape_contrast,flat_train_signed_contrast,hier_train_signed_contrast,adv_train_signed_contrast,flat_heldout_signed_contrast,hier_heldout_signed_contrast,adv_heldout_signed_contrast,flat_n_clusters,hier_nodes_by_level,hier_best_shape_level,hier_best_shape_separation,flat_shape_same_node,flat_shape_diff_node,flat_shape_separation,hier_shape_same_node,hier_shape_diff_node,flat_color_separation,hier_color_separation_at_shape_level
0,0,80,4,0.5,0.5,0.0,0.75,0.75,0.0,0.5,1.0,1.0,0.5,0.5,-0.5,0.25315038778012083,0.23023756969592718,0.022912818084193654,0.24573756578524464,0.2399232210643155,0.005814344720929149,0.717622944309383,0.6061979595915916,0.11142498471779139,0.684621481249834,0.672988141050508,0.011633340199326048,0.9683035409509066,0.6921403353730928,0.2761632055778138,0.9374747576671819,0.6618715761001066,0.2756031815670753,-0.0005600240107385135,0.504205804240657,0.49560717479645877,0.008598629444198203,0.5145931453603539,0.494145858558801,0.020447286801552944,0.011848657357354742,0.2761632055778138,0.2756031815670753,-0.0005600240107385135,0.008598629444198203,0.020447286801552944,0.011848657357354742,2,"{'level_0': 3, 'level_1': 4, 'level_2': 3, 'level_3': 1}",1,0.005322589670415767,0.9512820512820512,0.95,0.0012820512820512775,0.8799171842650103,0.8745945945945945,-0.0007142857142857784,0.048316518099458805
1,0,80,4,0.5,0.55,0.050000000000000044,0.75,1.0,0.25,1.0,0.5,1.0,1.0,0.0,0.5,0.24790883524065518,0.19786221957756003,0.05004661566309515,0.23991187294713626,0.20932660693150865,0.03058526601562761,0.6921664853363656,0.5308111984833632,0.16135528685300238,0.6729614072363908,0.6115529832578431,0.06140842397854762,0.9673966862822659,0.6855453877652673,0.28185129851699864,0.9353682031668488,0.611024717950452,0.3243434852163968,0.04249218669939814,0.5178690474561007,0.4973000155343046,0.020569031921796155,0.549528963949835,0.4642219327299653,0.08530703121986966,0.0647379992980735,0.28185129851699864,0.3243434852163968,0.04249218669939814,0.020569031921796155,0.08530703121986966,0.0647379992980735,2,"{'level_0': 4, 'level_1': 8, 'level_2': 7, 'level_3': 2}",3,1.0,0.9038461538461539,0.90375,9.61538461538014e-05,1.0,0.0,0.001984126984126977,
2,0,80,4,0.5,0.575,0.07499999999999996,0.25,1.0,0.75,0.5,0.0,1.0,1.0,0.5,1.0,0.24910057474610428,0.2074237130727302,0.04167686167337409,0.25018044401940226,0.22430628071466635,0.02587416330473591,0.6718041127393624,0.5609225953540485,0.11088151738531382,0.693507945957472,0.641662283378138,0.051845662579333984,0.3126566175483595,0.03415155173117258,0.2785050658171869,0.37631925359017965,0.06522862081979848,0.3110906327703812,0.032585566953194256,0.5024418369736079,0.5027741288894462,-0.00033229191583827866,0.540925454291934,0.48764574366640945,0.0532797106255245,0.05361200254136278,0.2785050658171869,0.3110906327703812,0.032585566953194256,-0.00033229191583827866,0.0532797106255245,0.05361200254136278,2,"{'level_0': 3, 'level_1': 3, 'level_2': 7, 'level_3': 5}",0,0.0,0.975,0.975,0.0,1.0,1.0,0.0,0.0
3,0,80,4,0.5,0.55,0.050000000000000044,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.25166417814583814,0.21513779972657138,0.03652637841926676,0.25310400325515187,0.23525473677159692,0.01784926648355495,0.7040327622377391,0.5730173444267648,0.13101541781097437,0.6993561981468382,0.6636448524460308,0.03571134570080747,0.9660939977383227,0.6906107104539374,0.2754832872843853,0.9359244577425363,0.6376213837075515,0.2983030740349848,0.02281978675059948,0.4993703501021774,0.5055090404517829,-0.006138690349605513,0.518360017416069,0.48837174666044,0.029988270755628987,0.0361269611052345,0.2754832872843853,0.2983030740349848,0.02281978675059948,-0.006138690349605513,0.029988270755628987,0.0361269611052345,2,"{'level_0': 4, 'level_1': 6, 'level_2': 9, 'level_3': 3}",2,0.17201320132013204,0.9512820512820512,0.95,0.0012820512820512775,0.46534653465346537,0.29333333333333333,-0.0007142857142857784,0.01501501501501501
4,0,80,4,0.5125,0.6,0.08750000000000002,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24353417892087767,0.20356886862616524,0.039965310294712425,0.24039438365610433,0.20511933479762262,0.035275048858481706,0.6778125581577601,0.5494780339888837,0.12833452416887636,0.6739300651560932,0.6030670558208305,0.07086300933526268,0.32182785254109864,0.03445144793197298,0.28737640460912567,0.3836231417032244,0.07271698119360379,0.3109061605096206,0.023529755900494942,0.5141312069085349,0.49465431725508435,0.019476889653450513,0.5593990536193207,0.4648181510112262,0.09458090260809454,0.07510401295464403,0.28737640460912567,0.3109061605096206,0.023529755900494942,0.019476889653450513,0.09458090260809454,0.07510401295464403,2,"{'level_0': 4, 'level_1': 7, 'level_2': 5, 'level_3': 3, 'level_4': 2}",0,0.1166666666666667,0.975,0.975,0.0,0.7666666666666667,0.65,0.0,-0.002301587301587249
5,0,80,4,0.4875,0.525,0.03750000000000003,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.25207752524976507,0.23116317331268615,0.020914351937078912,0.2517725270183737,0.23215333150641526,0.019619195511958454,0.6798134397651646,0.6173048547304398,0.06250858503472478,0.6966930496280651,0.6573766780015784,0.03931637162648671,0.3080151466878922,0.032403976198409165,0.275611170489483,0.34002152999066715,0.059305135074123584,0.28071639491654354,0.005105224427060517,0.4921124943115352,0.4955569872556769,-0.003444492944141675,0.5030861424422752,0.46600564905326086,0.03708049338901437,0.04052498633315604,0.275611170489483,0.28071639491654354,0.005105224427060517,-0.003444492944141675,0.03708049338901437,0.04052498633315604,1,"{'level_0': 1, 'level_1': 2, 'level_2': 2, 'level_3': 3, 'level_4': 1}",1,0.026346543587922877,1.0,1.0,0.0,0.6882239382239382,0.6618773946360154,0.0,0.018521878801319835
6,0,80,4,0.4875,0.575,0.08749999999999997,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24620067469827117,0.20863036463240814,0.03757031006586303,0.241077636233645,0.21623369961524508,0.024843936618399926,0.6640396196947659,0.5603383455604755,0.10370127413429042,0.6752970461480936,0.6254239984772888,0.049873047670804804,0.31624367013599874,0.03266890174161158,0.28357476839438717,0.3747773707044459,0.06467442500689805,0.3101029456975478,0.02652817730316065,0.5050990345851599,0.4870021880794934,0.01809684650566651,0.5522949487721085,0.4816285184613298,0.07066643031077868,0.052569583805112174,0.28357476839438717,0.3101029456975478,0.02652817730316065,0.01809684650566651,0.07066643031077868,0.052569583805112174,1,"{'level_0': 5, 'level_1': 5, 'level_2': 4, 'level_3': 2}",1,0.11321980083706162,1.0,1.0,0.0,0.4652908067542214,0.3520710059171598,0.0,-0.035368736666090084
7,0,80,4,0.5,0.5375,0.03749999999999998,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.24843316714728675,0.22699824215678027,0.021434924990506476,0.2515224442930505,0.2346948440266974,0.016827600266353077,0.6924582771672484,0.6052235291165904,0.087234748050658,0.696192653595111,0.6625206528553975,0.03367200073971344,0.967402471339151,0.686010605538702,0.28139186580044906,0.9334728680125501,0.6551024470201692,0.27837042099238096,-0.0030214448080680967,0.5054789785482832,0.5084214778476357,-0.00294249929935253,0.5205321204714399,0.48933441294051927,0.03119770753092066,0.03414020683027319,0.28139186580044906,0.27837042099238096,-0.0030214448080680967,-0.00294249929935253,0.03119770753092066,0.03414020683027319,1,"{'level_0': 5, 'level_1': 8, 'level_2': 6, 'level_3': 2, 'level_4': 2}",3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.125
8,0,80,4,0.5,0.5125,0.012499999999999956,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.24909062749878536,0.21857184404292535,0.03051878345586001,0.2534116921434667,0.2228629491334804,0.030548743009986307,0.6707996116178767,0.5781631915207747,0.09263642009710205,0.6999713994819754,0.638770222871216,0.06120117661075941,0.31235575482334144,0.031953896423260464,0.28040185840008097,0.3556986361172426,0.06246833100095104,0.29323030511629156,0.012828446716210584,0.4915401281483311,0.4982867953604029,-0.0067466672120717885,0.5163001621199558,0.46002804554761617,0.0562721165723396,0.06301878378441139,0.28040185840008097,0.29323030511629156,0.012828446716210584,-0.0067466672120717885,0.0562721165723396,0.06301878378441139,1,"{'level_0': 3, 'level_1': 4, 'level_2': 4, 'level_3': 1}",1,0.015591397849462396,1.0,1.0,0.0,0.7655913978494624,0.75,0.0,0.0005982837293614374
9,0,80,4,0.4875,0.525,0.03750000000000003,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24561774078900217,0.22272442700245548,0.022893313786546687,0.24351989927135514,0.2226449411506804,0.020874958120674747,0.6543630028188193,0.591037897441532,0.0633251053772873,0.6801841732278181,0.6382985148850954,0.04188565834272273,0.3172616711174362,0.03337432051304035,0.28388735060439585,0.350891663437579,0.06327501175046517,0.2876166516871138,0.003729301082717962,0.511945990978665,0.49882818180095645,0.01311780917770855,0.5361491762682415,0.4791565049263845,0.05699267134185704,0.04387486216414849,0.28388735060439585,0.2876166516871138,0.003729301082717962,0.01311780917770855,0.05699267134185704,0.04387486216414849,1,"{'level_0': 4, 'level_1': 5, 'level_2': 6, 'level_3': 2, 'level_4': 1}",0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
